timestamp,embedding_model,llm_model,chroma_collection,note,avg_mrr,avg_ndcg,avg_coverage_%,avg_accuracy,avg_completeness,avg_relevance,n_tests,detail_file
2026-07-10_17-36-34,e5-base-v2,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=1000,
            chunk_overlap=100,
        )",0.5402,0.5879,81.09,4.812,4.531,4.25,32,2026-07-10_17-36-34_e5-base-v2.csv
2026-07-10_18-29-37,e5-base-v2,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=700,
            chunk_overlap=100,
        )",0.5588,0.5939,75.21,4.625,4.25,4.188,32,2026-07-10_18-29-37_e5-base-v2.csv
2026-07-10_19-44-07,e5-base-v2,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=500,
            chunk_overlap=100,
        )",0.6462,0.6642,83.18,4.812,4.5,4.375,32,2026-07-10_19-44-07_e5-base-v2.csv
2026-07-10_20-47-56,bge-small-en-v1.5,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=500,
            chunk_overlap=100,
        )",0.588,0.6244,80.94,4.625,4.25,4.375,32,2026-07-10_20-47-56_bge-small-en-v1.5.csv
2026-07-10_21-06-55,MiniLM-L6-v2,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=500,
            chunk_overlap=100,
        )",0.4494,0.4832,65.83,4.25,3.906,4.25,32,2026-07-10_21-06-55_MiniLM-L6-v2.csv
2026-07-10_21-23-46,all-mpnet-base-v2,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=500,
            chunk_overlap=100,
        )",0.4806,0.5185,70,4.312,3.844,4.125,32,2026-07-10_21-23-46_all-mpnet-base-v2.csv
2026-07-11_00-25-36,e5-base-v2,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=400,
            chunk_overlap=100,
        )",0.5898,0.6177,78.85,4.781,4.469,4.344,32,2026-07-11_00-25-36_e5-base-v2.csv
2026-07-11_00-49-07,e5-base-v2,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=500,
            chunk_overlap=150,
        )",0.6384,0.6729,85.26,4.844,4.594,4.375,32,2026-07-11_00-49-07_e5-base-v2.csv
2026-07-11_00-57-40,e5-base-v2,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=600,
            chunk_overlap=150,
        )",0.6216,0.6621,85.89,4.75,4.5,4.219,32,2026-07-11_00-57-40_e5-base-v2.csv
2026-07-11_12-51-28,e5-large-v2,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=500,
            chunk_overlap=100,
        )",0.6951,0.7086,84.69,4.75,4.5,4.344,32,2026-07-11_12-51-28_e5-large-v2.csv
2026-07-11_13-50-38,e5-large-v2,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=500,
            chunk_overlap=100,
        )",0.6965,0.707,86.25,4.812,4.438,4.312,32,2026-07-11_13-50-38_e5-large-v2.csv
2026-07-11_14-35-00,embed-v-4-0,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=500,
            chunk_overlap=100,
        )",0.6415,0.6694,85.99,4.812,4.438,4.281,32,2026-07-11_14-35-00_embed-v-4-0.csv
2026-07-11_15-11-19,text-embedding-3-small,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=500,
            chunk_overlap=100,
        )",0.6773,0.7024,85.36,4.875,4.5,4.469,32,2026-07-11_15-11-19_text-embedding-3-small.csv
2026-07-11_16-21-41,text-embedding-3-small,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=500,
            chunk_overlap=100,
        )",0.6801,0.7066,88.75,4.906,4.531,4.531,32,2026-07-11_16-21-41_text-embedding-3-small.csv
2026-07-11_17-25-19,e5-large-v2,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=500,
            chunk_overlap=100,
        )",0.7057,0.7199,88.07,4.875,4.469,4.312,32,2026-07-11_17-25-19_e5-large-v2.csv
2026-07-11_17-41-12,e5-large-v2,Mistral-Large-3,research_papers,"RecursiveCharacterChunker(
            chunk_size=500,
            chunk_overlap=150,
        )",0.7228,0.7384,90.94,4.906,4.562,4.344,32,2026-07-11_17-41-12_e5-large-v2.csv
2026-07-11_19-50-58,e5-large-v2,Mistral-Large-3,research_papers,"""recursive"", chunk_size=500, chunk_overlap=200",0.725,0.7485,91.2,4.906,4.562,4.438,32,2026-07-11_19-50-58_e5-large-v2.csv
